Lat,Long,Country,Country
16.742498,-62.187366,Montserrat,Montserrat
31.791702,-7.09262,Morocco[y],Morocco[z]
-18.665695,35.529562,Mozambique,Mozambique
21.913965,95.956223,Myanmar,Myanmar
-22.95764,18.49041,Namibia,Namibia
28.394857,84.124008,Nepal,Nepal
52.132633,5.291266,Netherlands[o],Netherlands[p]
-20.904305,165.618042,New Caledonia,New Caledonia
-40.900557,174.885971,New Zealand,New Zealand
12.865416,-85.207229,Nicaragua,Nicaragua
17.607789,8.081666,Niger,Niger
9.081999,8.675277,Nigeria,Nigeria
41.6086,21.7453,North Macedonia,North Macedonia
60.472024,8.468946,Northern Cyprus[aq],Northern Cyprus[ar]
17.33083,145.38469,Northern Mariana Islands ,Northern Mariana Islands
60.472,8.4689,Norway[x],Norway[aa]
21.512583,55.923255,Oman,Oman
30.375321,69.345116,Pakistan,Pakistan
31.952162,35.233154,Palestine,Palestine
8.537981,-80.782127,Panama,Panama
-6.314993,143.95555,Papua New Guinea,Papua New Guinea
-23.442503,-58.443832,Paraguay,Paraguay
-9.189967,-75.015152,Peru,Peru
12.879721,121.774017,Philippines,Philippines
51.919438,19.145136,Poland,Poland
39.399872,-8.224454,Portugal,Portugal
18.220833,-66.590149,Puerto Rico,Puerto Rico
25.354826,51.183884,Qatar,Qatar
45.943161,24.96676,Romania,Romania
61.52401,105.318756,Russia[g],Russia[h]
-1.940278,29.873888,Rwanda,Rwanda
17.6355,63.2327,Saba,Saba
17.357822,-62.782998,Saint Kitts & Nevis,Saint Kitts and Nevis
13.909444,-60.978893,Saint Lucia,Saint Lucia
46.8852,56.3159,Saint Pierre and Miquelon,Saint Pierre and Miquelon
12.984305,-61.287228,Saint Vincent[au],Saint Vincent[av]
43.94236,12.457777,San Marino,San Marino
23.885942,45.079162,Saudi Arabia,Saudi Arabia
14.497401,-14.452362,Senegal,Senegal
44.016521,21.005859,Serbia[v],Serbia[w]
-4.679574,55.491977,Seychelles,Seychelles
8.460555,-11.779889,Sierra Leone,Sierra Leone
1.352083,103.819836,Singapore,Singapore
17.489,62.9736,Sint Eustatius,Sint Eustatius
18.0425,63.0548,Sint Maarten,Sint Maarten
48.669026,19.699024,Slovakia,Slovakia
46.151241,14.995463,Slovenia,Slovenia
5.152149,46.199616,Somalia[ad],Somalia[ae]
9.4117,46.8253,Somaliland[an],Somaliland[an]
-30.559482,22.937506,South Africa,South Africa
35.907757,127.766922,South Korea,South Korea
42.3333,44,South Ossetia[as],South Ossetia[at]
6.877,31.307,South Sudan,South Sudan
40.463667,-3.74922,Spain[i],Spain[j]
7.873054,80.771797,Sri Lanka,Sri Lanka
12.862807,30.217636,Sudan,Sudan
3.919305,-56.027783,Suriname,Suriname
60.128161,18.643501,Sweden,Sweden
46.818188,8.227512,Switzerland,Switzerland
34.802075,38.996815,Syria[ap],Syria[aq]
0.1864,6.6131,São Tomé & Príncipe,São Tomé and Príncipe
23.69781,120.960515,Taiwan[am],Taiwan[ao]
38.861034,71.276093,Tajikistan,Tajikistan
